trial,run_sig,status,objective,train_s,eval_s,elapsed_s,error,hp.model.gru_dropout,hp.model.gru_hidden,hp.model.gru_layers,hp.training.lr
1,gru_small_grid_v1_t001_seed40_full_merged,ok,0.2513870982778711,1794.947,232.248,2027.221,,0.3,96,2,0.0001
2,gru_small_grid_v1_t002_seed40_full_merged,ok,0.2521911479899351,1783.611,246.051,2029.664,,0.1,128,3,0.0001
3,gru_small_grid_v1_t003_seed40_full_merged,ok,0.22161636178595082,1970.072,235.512,2205.587,,0.2,192,2,0.0003
4,gru_small_grid_v1_t004_seed40_full_merged,ok,0.22808718696181166,2277.341,258.577,2535.921,,0.2,192,3,0.0003
5,gru_small_grid_v1_t005_seed40_full_merged,ok,0.2583570009002858,575.467,232.546,808.015,,0.2,96,2,0.001
6,gru_small_grid_v1_t006_seed40_full_merged,ok,0.24607970947682653,1844.533,227.675,2072.211,,0.1,128,2,0.0001
7,gru_small_grid_v1_t007_seed40_full_merged,ok,0.26284018792703967,1361.004,275.785,1636.792,,0.2,192,3,0.001
8,gru_small_grid_v1_t008_seed40_full_merged,ok,0.2467344039296694,559.064,230.637,789.704,,0.1,96,3,0.001
9,gru_small_grid_v1_t009_seed40_full_merged,ok,0.2610403877080315,1804.257,226.627,2030.887,,0.3,128,1,0.0001
10,gru_small_grid_v1_t010_seed40_full_merged,ok,0.22391652635143727,1812.194,250.816,2063.012,,0.2,96,2,0.0001
11,gru_small_grid_v1_t011_seed40_full_merged,ok,0.21888754083107817,1295.689,238.824,1534.516,,0.3,192,2,0.001
12,gru_small_grid_v1_t012_seed40_full_merged,ok,0.23429227491366986,1286.812,235.147,1521.962,,0.2,192,2,0.001
